Name,Details
Betty Crocker Choco Fudge Instant Cake Mix Powder,"Ingredients : Sugar, Refined Wheat Flour (Maida), Cocoa Solids (4.7%), Edible Vegetable Oil (Palm), Corn Starch, Dextrose, Raising Agents (Ins500(Ii), Ins341(I)), Modified Starch (Ins1442), Iodized Salt, Emulsifiers And Stabilizers (Ins477, Ins471, Ins415), Artificial Flavouring Substance (Vanilla)."
Betty Crocker Choco Fudge Instant Cake Mix Powder,How to Use : Done
Betty Crocker Choco Fudge Instant Cake Mix Powder,Manufacturer Name : General Mills India Pvt Ltd
Betty Crocker Choco Fudge Instant Cake Mix Powder,"Manufacturer Address : General Mills India Pvt Ltd, F-11, Malegaon (MIDC), Sinnar, Nashik 422113, Maharashtra, India"
Nissin Geki - Hot & Spicy Korean Veg Flavour,Country of Origin : India
Nissin Geki - Hot & Spicy Korean Veg Flavour,Shelf Life : 10 months
Nissin Geki - Hot & Spicy Korean Veg Flavour,Manufacturer Name : Nissin
Nissin Geki - Hot & Spicy Korean Veg Flavour,"Manufacturer Address : Nissin, 3rd Floor, Centenary Building, 28, M.G. Road, Bangalore - 560001."
Jimmy's Appalam,"Description : This is a Hand Made Appalam, which is of 3.5-inch Diameter. It contains no added preservatives or artificial colours. It is Crispy and very tasty. Store in a cool dry place."
Jimmy's Appalam,Country of Origin : India
Jimmy's Appalam,Shelf Life : 91 days
Jimmy's Appalam,Manufacturer Name : G K Marketing
Jimmy's Appalam,"Manufacturer Address : G K Marketing , 4/441 , Mogappair West , Chennai 600037."
Safal Frozen Green Peas,"Description : Safal Frozen Green Peas 1 kg Green peas are a great source of nourishment that contains a high level of protein and fibre. Safal Frozen Green Peas are frozen to perfection, preserving their unique taste, freshness and nutrition. They make a great addition to curries, salads and sandwiches. Frozen peas have a longer shelf life which saves you the hassle of peeling or acquiring fresh peas when needed."
Safal Frozen Green Peas,Country of Origin : India
Safal Frozen Green Peas,Shelf Life : 12 months
Safal Frozen Green Peas,Ingredients : Peas
Safal Frozen Green Peas,Manufacturer Name : Mother Dairy Fruit & Vegetable Pvt Ltd
Safal Frozen Green Peas,"Manufacturer Address : Mother Dairy Fruit & Vegetable Pvt Ltd, Fruit And Vegetable Unit, Mangolpuri, Industrial Area, Phase 1, Delhi -110083."
"Pedigree Chicken&Vegetables Flavour,Adult Dry Dog Food",Country of Origin : India
"Pedigree Chicken&Vegetables Flavour,Adult Dry Dog Food",Shelf Life : 12 months
"Pedigree Chicken&Vegetables Flavour,Adult Dry Dog Food",Manufacturer Name : Mars INT (Pet Food)
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein","Description : Nestle CERELAC Baby Cereal with Milk, 5 Grains & Fruits is a complementary food for babies from 18 to 24 months. While infants and children have higher requirements of nutrients than adults, 2 serves of CERELAC 5 Grains & Fruits Cereal provides 37% of a baby’s daily need of iron. It is also a source of 14 important nutrients including vitamins and minerals."
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein",Country of Origin : India
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein",Shelf Life : 13 months
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein","Ingredients : Milk solids (33.3%), Resultant wheat flour (Resultant Atta) (27.3%), Oat flour (8.8%), Sugar, Wheat flour (Atta) (5.9%), Rice flour (5.5%), Apple juice concentrate (4.2%), Orange juice concentrate (3%), Soyabean oil, Corn flour (2.8%), Malted barley flour (0.8%), Maltodextrin, Starch, Blackcurrant juice concentrate (0.3%), Pomegranate juice concentrate (0.3%), Mango pulp (0.3%), Mango powder (0.2%), Minerals, Dextrose, Vitamins, Acidity regulator (Potassium hydrogen carbonate), Enzyme (Alpha amylase) and Packaging gases (Nitrogen and Carbon dioxide) Contains Milk, Wheat, Oats and Barley."
